campaign_id,campaign_name,channel,campaign_type,start_date,end_date,budget,target_country,status
1,Facebook Ads Seasonal Q1 2024,facebook_ads,seasonal,2024-03-03,2024-03-31,30446.22,Switzerland,completed
2,Google Ads Retargeting Q4 2023,google_ads,retargeting,2023-11-27,2024-02-15,47800.12,Austria,completed
3,Facebook Ads Acquisition Q4 2022,facebook_ads,acquisition,2022-11-11,2023-01-21,41133.52,Germany,completed
4,Facebook Ads Retention Q1 2023,facebook_ads,retention,2023-02-28,2023-04-28,18234.72,All,completed
5,Facebook Ads Acquisition Q2 2022,facebook_ads,acquisition,2022-04-27,2022-05-26,23482.35,Austria,completed
6,Organic Retargeting Q3 2023,organic,retargeting,2023-07-10,2023-09-10,19696.6,All,completed
7,Organic Retention Q4 2023,organic,retention,2023-10-12,2023-11-24,35402.54,All,completed
8,Tiktok Ads Brand Awareness Q1 2022,tiktok_ads,brand_awareness,2022-03-31,2022-04-20,5392.26,Germany,completed
9,Tiktok Ads Brand Awareness Q2 2023,tiktok_ads,brand_awareness,2023-05-24,2023-08-18,46434.22,Germany,completed
10,Facebook Ads Seasonal Q2 2024,facebook_ads,seasonal,2024-04-05,2024-04-16,33717.8,All,completed
11,Google Ads Retention Q3 2023,google_ads,retention,2023-07-19,2023-09-12,6610.55,All,completed
12,Tiktok Ads Acquisition Q1 2024,tiktok_ads,acquisition,2024-03-23,2024-05-28,21233.8,All,completed
13,Referral Retention Q1 2022,referral,retention,2022-01-08,2022-03-03,39327.61,USA,completed
14,Google Ads Acquisition Q4 2022,google_ads,acquisition,2022-11-11,2023-01-10,33991.74,Germany,completed
15,Tiktok Ads Brand Awareness Q1 2022,tiktok_ads,brand_awareness,2022-01-16,2022-01-26,8515.39,Austria,completed
16,Email Seasonal Q4 2022,email,seasonal,2022-11-22,2023-01-10,9350.13,UK,completed
17,Facebook Ads Seasonal Q1 2023,facebook_ads,seasonal,2023-02-05,2023-03-08,31197.13,Austria,completed
18,Google Ads Seasonal Q1 2023,google_ads,seasonal,2023-03-16,2023-04-08,47030.19,Austria,completed
19,Referral Retention Q4 2022,referral,retention,2022-11-22,2023-02-03,8763.74,Switzerland,completed
20,Referral Retargeting Q2 2023,referral,retargeting,2023-06-01,2023-06-23,31940.61,All,completed
21,Email Acquisition Q2 2024,email,acquisition,2024-05-07,2024-07-23,8793.61,Austria,completed
22,Google Ads Brand Awareness Q1 2023,google_ads,brand_awareness,2023-03-24,2023-04-01,31815.81,UK,completed
23,Google Ads Seasonal Q1 2022,google_ads,seasonal,2022-03-22,2022-06-10,19737.84,All,completed
24,Google Ads Retention Q4 2023,google_ads,retention,2023-10-12,2024-01-07,39101.9,Germany,completed
25,Organic Retargeting Q4 2022,organic,retargeting,2022-11-01,2022-12-02,27235.44,Switzerland,completed
26,Referral Retention Q1 2024,referral,retention,2024-02-28,2024-04-08,33303.63,Switzerland,completed
27,Tiktok Ads Brand Awareness Q4 2023,tiktok_ads,brand_awareness,2023-10-16,2024-01-05,43480.01,Germany,completed
28,Tiktok Ads Brand Awareness Q2 2022,tiktok_ads,brand_awareness,2022-04-20,2022-05-15,14840.69,All,completed
29,Google Ads Retention Q2 2024,google_ads,retention,2024-05-14,2024-07-06,45723.24,Switzerland,completed
30,Google Ads Brand Awareness Q1 2023,google_ads,brand_awareness,2023-02-28,2023-03-16,24839.35,UK,completed
31,Google Ads Retention Q1 2023,google_ads,retention,2023-01-20,2023-03-08,32044.04,USA,completed
32,Google Ads Acquisition Q1 2022,google_ads,acquisition,2022-01-11,2022-02-09,33323.65,UK,completed
33,Email Brand Awareness Q4 2022,email,brand_awareness,2022-12-18,2023-02-07,24711.64,UK,completed
34,Facebook Ads Retargeting Q2 2023,facebook_ads,retargeting,2023-06-19,2023-07-28,46402.58,Germany,completed
35,Google Ads Brand Awareness Q2 2023,google_ads,brand_awareness,2023-06-15,2023-08-26,38287.09,Switzerland,completed
36,Facebook Ads Retargeting Q1 2022,facebook_ads,retargeting,2022-01-31,2022-03-20,7789.69,Germany,completed
37,Organic Retargeting Q4 2022,organic,retargeting,2022-10-02,2022-11-13,24597.17,All,completed
38,Facebook Ads Seasonal Q4 2023,facebook_ads,seasonal,2023-10-30,2023-12-13,23885.14,All,completed
39,Facebook Ads Retention Q3 2022,facebook_ads,retention,2022-07-17,2022-08-25,9475.02,All,completed
40,Email Acquisition Q1 2023,email,acquisition,2023-02-07,2023-02-27,29598.76,All,completed
41,Facebook Ads Retargeting Q1 2024,facebook_ads,retargeting,2024-01-10,2024-03-19,22240.11,USA,completed
42,Organic Acquisition Q2 2024,organic,acquisition,2024-04-15,2024-06-01,31522.64,UK,completed
43,Facebook Ads Seasonal Q4 2022,facebook_ads,seasonal,2022-12-28,2023-02-20,44996.84,All,completed
44,Facebook Ads Brand Awareness Q2 2023,facebook_ads,brand_awareness,2023-06-08,2023-07-17,29756.59,Switzerland,completed
45,Email Seasonal Q4 2022,email,seasonal,2022-12-27,2023-02-22,2467.06,Germany,completed
46,Facebook Ads Retargeting Q1 2023,facebook_ads,retargeting,2023-01-02,2023-02-09,4559.38,All,completed
47,Facebook Ads Acquisition Q2 2022,facebook_ads,acquisition,2022-05-06,2022-05-14,16610.87,Germany,completed
48,Facebook Ads Retention Q3 2023,facebook_ads,retention,2023-08-05,2023-09-22,45038.45,UK,completed
49,Facebook Ads Seasonal Q3 2022,facebook_ads,seasonal,2022-08-06,2022-10-19,11655.71,UK,completed
50,Referral Brand Awareness Q3 2023,referral,brand_awareness,2023-08-11,2023-11-08,21665.76,All,completed
