spend_id,campaign_id,spend_date,daily_spend,impressions,clicks,conversions,cpc,ctr
1,1,2023-01-25,672.69,1092,26,1,25.87,0.024
2,1,2023-01-26,725.59,7435,397,27,1.83,0.0535
3,1,2023-01-27,506.57,783,45,2,11.26,0.0577
4,1,2023-01-28,737.97,1734,154,4,4.79,0.0894
5,1,2023-01-29,684.35,2865,269,21,2.54,0.0939
6,1,2023-01-30,784.71,6846,292,27,2.69,0.0428
7,1,2023-01-31,730.87,2238,98,5,7.46,0.0442
8,1,2023-02-01,434.61,1269,80,7,5.43,0.0635
9,1,2023-02-02,652.95,2155,71,10,9.2,0.0332
10,1,2023-02-03,634.95,1001,119,7,5.34,0.1189
11,1,2023-02-04,437.11,4027,140,19,3.12,0.0349
12,1,2023-02-05,451.08,3742,425,62,1.06,0.1137
13,1,2023-02-06,598.02,5318,230,18,2.6,0.0433
14,1,2023-02-07,508.75,5515,160,14,3.18,0.0291
15,1,2023-02-08,460.69,5193,355,41,1.3,0.0685
16,1,2023-02-09,473.11,5508,221,27,2.14,0.0402
17,1,2023-02-10,673.76,6546,718,36,0.94,0.1097
18,1,2023-02-11,607.59,1874,159,17,3.82,0.0851
19,1,2023-02-12,511.61,7632,801,31,0.64,0.1051
20,1,2023-02-13,614.82,2357,209,16,2.94,0.0887
21,1,2023-02-14,629.44,1093,48,3,13.11,0.0442
22,1,2023-02-15,434.93,4560,177,22,2.46,0.0389
23,1,2023-02-16,760.55,813,51,3,14.91,0.0637
24,1,2023-02-17,759.8,5931,292,18,2.6,0.0493
25,1,2023-02-18,495.52,2588,54,5,9.18,0.021
26,1,2023-02-19,475.9,3486,109,7,4.37,0.0314
27,1,2023-02-20,444.44,2999,219,11,2.03,0.0731
28,1,2023-02-21,452.65,722,40,1,11.32,0.0555
29,1,2023-02-22,539.78,7554,437,31,1.24,0.058
30,1,2023-02-23,451.1,3574,159,7,2.84,0.0445
31,1,2023-02-24,649.85,737,27,1,24.07,0.0376
32,1,2023-02-25,581.98,6730,768,82,0.76,0.1141
33,1,2023-02-26,777.8,5886,374,42,2.08,0.0636
34,1,2023-02-27,560.82,3529,246,23,2.28,0.0697
35,1,2023-02-28,683.06,5081,561,34,1.22,0.1104
36,1,2023-03-01,447.59,7122,225,21,1.99,0.0317
37,1,2023-03-02,461.43,772,32,2,14.42,0.042
38,1,2023-03-03,501.48,7678,389,40,1.29,0.0507
39,1,2023-03-04,694.56,5948,383,12,1.81,0.0645
40,1,2023-03-05,430.61,1135,110,4,3.91,0.0977
41,2,2022-09-15,355.6,4548,438,60,0.81,0.0965
42,2,2022-09-16,318.66,3988,396,47,0.8,0.0994
43,2,2022-09-17,387.45,2426,195,18,1.99,0.0805
44,2,2022-09-18,261.4,1367,152,11,1.72,0.1116
45,2,2022-09-19,314.94,5341,601,50,0.52,0.1125
46,2,2022-09-20,328.82,5377,153,4,2.15,0.0285
47,2,2022-09-21,302.26,5695,187,14,1.62,0.033
48,2,2022-09-22,225.5,5931,508,50,0.44,0.0858
49,2,2022-09-23,343.47,7048,366,19,0.94,0.052
50,2,2022-09-24,400.2,1375,29,2,13.8,0.0213
51,2,2022-09-25,368.9,2850,109,5,3.38,0.0383
52,2,2022-09-26,241.68,2849,341,39,0.71,0.1198
53,2,2022-09-27,341.88,7396,284,22,1.2,0.0385
54,2,2022-09-28,269.34,1136,53,4,5.08,0.0469
55,2,2022-09-29,245.28,6457,231,14,1.06,0.0358
56,2,2022-09-30,311.78,6632,533,20,0.58,0.0805
57,2,2022-10-01,263.13,1552,168,17,1.57,0.1088
58,2,2022-10-02,306.92,7560,733,48,0.42,0.097
59,2,2022-10-03,275.62,4596,208,10,1.33,0.0453
60,2,2022-10-04,317.3,2059,108,4,2.94,0.0529
61,2,2022-10-05,264.89,5527,306,28,0.87,0.0555
62,2,2022-10-06,285.99,4063,398,39,0.72,0.0981
63,2,2022-10-07,237.43,6934,647,64,0.37,0.0934
64,2,2022-10-08,237.68,3957,114,9,2.08,0.0288
65,2,2022-10-09,267.72,2098,224,9,1.2,0.1069
66,2,2022-10-10,356.38,2070,65,7,5.48,0.0315
67,2,2022-10-11,257.89,1919,196,21,1.32,0.1026
68,2,2022-10-12,380.99,5549,172,5,2.22,0.0312
69,2,2022-10-13,305.99,2939,177,16,1.73,0.0605
70,2,2022-10-14,263.26,2548,173,17,1.52,0.068
71,2,2022-10-15,395.27,1570,38,2,10.4,0.0243
72,2,2022-10-16,375.94,6015,670,88,0.56,0.1114
73,2,2022-10-17,312.3,5645,408,33,0.77,0.0723
74,2,2022-10-18,360.26,1840,147,14,2.45,0.0804
75,2,2022-10-19,224.9,7421,741,49,0.3,0.0999
