campaign_id,campaign_name,channel,campaign_type,start_date,end_date,budget,target_country,status
1,Google Ads Retention Q1 2023,google_ads,retention,2023-01-25,2023-03-05,23632.35,Switzerland,completed
2,Google Ads Acquisition Q3 2022,google_ads,reactivation,2022-09-15,2022-11-17,19960.11,Austria,completed
3,Google Ads Brand Awareness Q3 2023,google_ads,reactivation,2023-08-26,2023-10-06,69611.91,Germany,completed
4,Google Ads Brand Awareness Q2 2023,google_ads,acquisition,2023-04-18,2023-05-24,76014.43,USA,completed
5,Google Ads Reactivation Q1 2024,google_ads,brand_awareness,2024-03-04,2024-03-29,35196.7,UK,completed
6,Google Ads Retention Q1 2022,google_ads,brand_awareness,2022-01-08,2022-03-17,79217.75,USA,completed
7,Google Ads Retention Q2 2023,google_ads,reactivation,2023-04-19,2023-07-08,78253.39,UK,completed
8,Google Ads Reactivation Q3 2022,google_ads,retention,2022-08-10,2022-09-13,75793.29,Austria,completed
9,Google Ads Acquisition Q1 2022,google_ads,retention,2022-02-07,2022-03-07,40529.52,Switzerland,completed
10,Facebook Ads Acquisition Q3 2024,facebook_ads,retention,2024-08-17,2024-10-24,28235.52,Germany,completed
11,Facebook Ads Reactivation Q4 2022,facebook_ads,retention,2022-12-04,2023-01-04,72497.76,France,completed
12,Facebook Ads Reactivation Q4 2023,facebook_ads,brand_awareness,2023-10-18,2023-11-28,45910.32,Switzerland,completed
13,Facebook Ads Reactivation Q2 2022,facebook_ads,acquisition,2022-05-10,2022-07-08,14819.52,Netherlands,completed
14,Facebook Ads Reactivation Q3 2023,facebook_ads,acquisition,2023-09-07,2023-10-10,12236.24,Germany,completed
15,Facebook Ads Reactivation Q2 2022,facebook_ads,retention,2022-06-28,2022-08-03,74310.04,Netherlands,completed
16,Organic Retention Q1 2024,organic,brand_awareness,2024-02-29,2024-05-16,13791.0,Switzerland,completed
17,Organic Brand Awareness Q3 2022,organic,acquisition,2022-07-10,2022-08-02,48926.94,Germany,completed
18,Organic Reactivation Q3 2022,organic,brand_awareness,2022-08-10,2022-10-11,66677.53,UK,completed
19,Organic Acquisition Q1 2023,organic,retention,2023-03-01,2023-05-01,70967.63,France,completed
20,Organic Reactivation Q1 2024,organic,retention,2024-01-09,2024-03-14,28356.41,Austria,completed
21,Organic Acquisition Q4 2023,organic,brand_awareness,2023-11-01,2023-12-24,21395.3,Switzerland,completed
22,Organic Reactivation Q4 2023,organic,brand_awareness,2023-11-22,2024-01-06,37859.4,France,completed
23,Organic Reactivation Q2 2024,organic,brand_awareness,2024-06-22,2024-08-31,10225.75,UK,completed
24,Email Retention Q1 2024,email,brand_awareness,2024-03-18,2024-06-01,37319.15,UK,completed
25,Email Brand Awareness Q4 2023,email,reactivation,2023-11-06,2023-12-10,55868.18,USA,completed
26,Email Retention Q3 2023,email,reactivation,2023-09-26,2023-12-05,30263.53,Germany,completed
27,Email Brand Awareness Q1 2022,email,retention,2022-01-05,2022-03-05,71849.67,Austria,completed
28,Email Reactivation Q1 2024,email,retention,2024-03-19,2024-05-05,35618.44,Netherlands,completed
29,Email Acquisition Q4 2023,email,acquisition,2023-11-04,2024-01-08,42624.22,Germany,completed
30,Email Retention Q2 2023,email,reactivation,2023-06-19,2023-08-11,74981.87,UK,completed
31,Email Reactivation Q2 2024,email,brand_awareness,2024-05-21,2024-07-27,20021.35,Germany,completed
32,Referral Acquisition Q2 2024,referral,acquisition,2024-04-05,2024-05-28,77085.34,UK,completed
33,Referral Brand Awareness Q1 2023,referral,retention,2023-01-14,2023-04-09,61749.76,France,completed
34,Referral Reactivation Q1 2024,referral,retention,2024-03-23,2024-05-26,24860.14,UK,completed
35,Referral Reactivation Q2 2024,referral,reactivation,2024-06-17,2024-07-17,36362.23,France,completed
36,Referral Brand Awareness Q3 2022,referral,retention,2022-07-03,2022-09-01,25518.35,USA,completed
37,Referral Retention Q2 2024,referral,reactivation,2024-06-30,2024-08-31,47959.82,Austria,completed
