order_id,customer_id,order_date,amount,refund_amount,status,product,payment_method
1,478,2024-11-02,29.99,0.0,completed,Premium Plan,credit_card
2,7,2023-07-12,29.99,0.0,cancelled,Premium Plan,bank_transfer
3,343,2024-07-20,9.99,0.0,completed,Basic Plan,credit_card
4,400,2024-02-07,29.99,0.0,completed,Premium Plan,bank_transfer
5,52,2024-04-13,9.99,0.0,completed,Basic Plan,paypal
6,152,2024-02-23,0.0,0.0,completed,Free Plan,credit_card
7,417,2022-11-28,0.0,0.0,cancelled,Free Plan,paypal
8,185,2024-06-23,29.99,0.0,completed,Premium Plan,paypal
9,379,2022-10-28,0.0,0.0,completed,Free Plan,credit_card
10,5,2024-02-14,29.99,0.0,completed,Premium Plan,credit_card
11,169,2024-05-31,0.0,0.0,cancelled,Free Plan,bank_transfer
12,138,2024-03-05,0.0,0.0,completed,Free Plan,paypal
13,94,2024-12-13,29.99,0.0,completed,Premium Plan,paypal
14,140,2024-10-28,0.0,0.0,completed,Free Plan,paypal
15,410,2024-10-31,0.0,0.0,completed,Free Plan,credit_card
16,58,2024-06-13,0.0,0.0,completed,Free Plan,credit_card
17,483,2024-09-16,9.99,0.0,completed,Basic Plan,bank_transfer
18,248,2024-11-07,29.99,0.0,completed,Premium Plan,paypal
19,93,2024-05-19,29.99,0.0,completed,Premium Plan,paypal
20,314,2023-02-01,0.0,0.0,cancelled,Free Plan,bank_transfer
21,499,2024-11-01,0.0,0.0,completed,Free Plan,paypal
22,58,2024-12-24,0.0,0.0,completed,Free Plan,credit_card
23,33,2024-10-26,0.0,0.0,completed,Free Plan,credit_card
24,361,2024-09-01,9.99,0.0,completed,Basic Plan,bank_transfer
25,296,2024-11-25,0.0,0.0,completed,Free Plan,bank_transfer
26,448,2024-09-14,29.99,0.0,completed,Premium Plan,bank_transfer
27,359,2024-12-20,0.0,0.0,completed,Free Plan,bank_transfer
28,373,2022-12-20,9.99,0.0,completed,Basic Plan,bank_transfer
29,347,2024-12-26,0.0,0.0,completed,Free Plan,bank_transfer
30,457,2024-12-25,0.0,0.0,completed,Free Plan,bank_transfer
31,479,2023-07-03,9.99,0.0,completed,Basic Plan,paypal
32,437,2024-06-26,29.99,0.0,cancelled,Premium Plan,credit_card
33,385,2024-12-10,0.0,0.0,completed,Free Plan,paypal
34,497,2023-08-12,9.99,0.0,completed,Basic Plan,credit_card
35,282,2024-09-21,9.99,0.0,completed,Basic Plan,credit_card
36,41,2024-04-28,0.0,0.0,completed,Free Plan,bank_transfer
37,230,2024-11-12,29.99,0.0,cancelled,Premium Plan,paypal
38,162,2022-11-15,0.0,0.0,refunded,Free Plan,bank_transfer
39,335,2023-03-06,0.0,0.0,completed,Free Plan,paypal
40,19,2024-06-19,29.99,0.0,completed,Premium Plan,credit_card
41,406,2024-03-09,29.99,0.0,cancelled,Premium Plan,bank_transfer
42,106,2024-08-15,29.99,0.0,completed,Premium Plan,paypal
43,187,2024-07-14,9.99,0.0,completed,Basic Plan,credit_card
44,433,2024-11-21,0.0,0.0,completed,Free Plan,bank_transfer
45,308,2024-07-22,29.99,0.0,completed,Premium Plan,paypal
46,367,2023-12-24,0.0,0.0,completed,Free Plan,bank_transfer
47,114,2023-02-23,0.0,0.0,completed,Free Plan,bank_transfer
48,494,2023-10-07,9.99,0.0,completed,Basic Plan,paypal
49,360,2024-10-24,0.0,0.0,completed,Free Plan,credit_card
50,253,2024-05-25,9.99,0.0,cancelled,Basic Plan,bank_transfer
51,370,2024-04-23,29.99,0.0,completed,Premium Plan,bank_transfer
52,101,2023-01-31,0.0,0.0,completed,Free Plan,paypal
53,111,2024-12-08,29.99,0.0,cancelled,Premium Plan,credit_card
54,367,2023-08-29,0.0,0.0,completed,Free Plan,paypal
55,24,2023-09-26,0.0,0.0,completed,Free Plan,paypal
56,235,2024-10-02,9.99,0.0,completed,Basic Plan,bank_transfer
57,69,2023-10-31,0.0,0.0,completed,Free Plan,bank_transfer
58,25,2023-11-18,29.99,29.99,refunded,Premium Plan,bank_transfer
59,248,2024-01-11,29.99,0.0,completed,Premium Plan,credit_card
60,355,2024-12-19,9.99,0.0,completed,Basic Plan,credit_card
61,54,2024-04-20,29.99,0.0,completed,Premium Plan,bank_transfer
62,452,2024-10-10,0.0,0.0,completed,Free Plan,paypal
63,215,2024-10-28,0.0,0.0,cancelled,Free Plan,credit_card
64,141,2024-10-13,29.99,29.99,refunded,Premium Plan,paypal
65,232,2024-12-19,29.99,0.0,completed,Premium Plan,paypal
66,309,2024-12-15,9.99,0.0,cancelled,Basic Plan,bank_transfer
67,154,2024-09-20,29.99,0.0,completed,Premium Plan,paypal
68,365,2024-12-31,9.99,9.99,refunded,Basic Plan,bank_transfer
69,112,2023-12-23,29.99,0.0,completed,Premium Plan,bank_transfer
70,149,2024-10-16,0.0,0.0,refunded,Free Plan,credit_card
71,364,2024-11-08,0.0,0.0,refunded,Free Plan,credit_card
72,258,2024-11-13,9.99,0.0,completed,Basic Plan,paypal
73,288,2024-02-03,0.0,0.0,completed,Free Plan,bank_transfer
74,364,2024-09-09,0.0,0.0,completed,Free Plan,bank_transfer
75,147,2024-10-01,0.0,0.0,cancelled,Free Plan,bank_transfer
76,55,2024-06-18,29.99,0.0,completed,Premium Plan,credit_card
77,344,2023-05-25,0.0,0.0,completed,Free Plan,credit_card
78,147,2024-04-08,0.0,0.0,completed,Free Plan,credit_card
79,354,2024-09-03,0.0,0.0,completed,Free Plan,bank_transfer
80,17,2023-11-22,29.99,0.0,cancelled,Premium Plan,credit_card
81,316,2024-11-03,29.99,0.0,cancelled,Premium Plan,bank_transfer
82,332,2024-10-02,29.99,0.0,completed,Premium Plan,bank_transfer
83,402,2023-12-06,29.99,0.0,completed,Premium Plan,credit_card
